		Institution	Location	Academic	Employer	Citations	H	International	Score
147=	145=	University of Liverpool	United Kingdom	71.4	72.3	78	66.3	55.9	70.9
149	145=	University of Massachusetts Amherst	United States	76.2	60.8	83.9	57.1	45.1	70.7
150	159=	Universidad Aut¨®noma de Madrid	Spain	75.3	76.2	67.6	44.2	35.7	70.6
151=	168=	"University of California, Irvine"	United States	74.3	61.5	83.8	66.3	47.6	70.5
151=	149=	University of G?ttingen	Germany	77.6	60.7	74.8	57.1	37.7	70.5
151=	132=	University of Pittsburgh	United States	75.7	54.3	80.7	73.4	52.6	70.5
154=	139	Universidad de los Andes	Colombia	81	69.7	62.2	35	11.7	70.4
154=	135=	Universidade Estadual de Campinas (Unicamp)	Brazil	76.8	70.6	63.3	51.3	31.7	70.4
154=	157=	Universit?t Hamburg	Germany	76.1	61.5	74.8	62.1	44.4	70.4
157=	163=	Universit¨¤?di Padova	Italy	73.7	70.6	74	44.2	59.5	70.2
157=	172	University of Hawai?i at M¨¡noa	United States	73.2	66.3	77.8	66.3	44.9	70.2
159=	174=	University of Milan	Italy	75.5	67.1	67.6	57.1	41.2	70.1
159=	185=	York University	Canada	75.4	60.2	78.9	66.3	37.7	70.1
161=	154=	"University of California, Santa Barbara (UCSB)"	United States	73.7	61.4	81.7	70.1	41.4	70
161=	145=	"University of Maryland, College Park"	United States	70.9	66.6	84.4	70.1	51.8	70
161=	166=	University of the Arts London	United Kingdom	82	68.1	60.7	35	-	70
164=	173	Radboud University 	Netherlands	72.4	65.9	79.2	62.1	54.6	69.9
164=	163=	Royal Holloway University of London	United Kingdom	74.2	57.8	79.4	79.3	38.4	69.9
166	174=	University of Cologne	Germany	77.5	54.3	75.2	51.3	59.1	69.8
167=	190=	Arizona State University	United States	73	66.6	80	62.1	34.6	69.5
167=	242	Chulalongkorn University	Thailand	76.1	75.5	61.7	35	29.7	69.5
167=	182=	Universit¨¤?Cattolica del Sacro Cuore	Italy	75.4	72.7	68.9	44.2	25.4	69.5
170=	166=	Cardiff University	United Kingdom	73.3	62.1	80.6	66.3	38.7	69.4
170=	154=	Nanjing University	China (Mainland)	77	64.4	73.9	35	42.4	69.4
170=	124=	Universit¨¦ Sorbonne Nouvelle Paris 3	France	83.8	52.7	56	35	34.6	69.4
173=	245=	RUDN University	Russia	71.3	88.2	62.5	35	31.7	69.3
173=	195=	The University of Adelaide	Australia	69.2	74.9	80.4	66.3	35.7	69.3
175=	162	Sciences Po 	France	74.7	67.9	69.6	51.3	34.8	69.2
175=	165	Shanghai Jiao Tong University	China (Mainland)	72.3	75.9	84	35	33.3	69.2
175=	178=	Tongji University	China (Mainland)	79.1	62.8	74.8	35	19.4	69.2
175=	145=	Universidade Federal do Rio de Janeiro	Brazil	77	67.7	61.9	44.2	29.7	69.2
175=	140=	Zhejiang University	China (Mainland)	72.3	78.6	74.9	35	36.3	69.2
180	168=	University of Alberta	Canada	70.2	68.7	77	70.1	44.6	69.1
181	189	Osaka University	Japan	75.8	73.2	62.4	35	31.7	69
182=	204=	National Taiwan Normal University	Taiwan	78.5	64.1	77.2	22.1	29.7	68.9
182=	212	University of Bergen	Norway	74.7	52.4	83.2	62.1	53.7	68.9
184	168=	Hanyang University	South Korea	76	70.5	66.5	35	29.7	68.8
